Num,x,y
0,25.3350723,17.23721668
1,24.49601601,10.6756187
2,21.474822,15.32402464
3,27.69917046,13.01826673
4,27.47072582,15.11582603
5,28.05004427,15.97838474
6,20.6198734,19.29483345
7,20.53477275,16.56384491
8,21.52911911,16.28328677
9,26.02101748,17.70694292
10,22.58990903,12.37217484
11,21.44260735,18.29737251
12,22.30341142,10.41827537
13,20.10225883,11.90737296
14,26.27957714,19.22193087
15,25.77719524,16.18935673
16,23.0487024,12.12245657
17,21.05238518,15.93449549
18,26.34838315,11.94427595
19,23.7629727,17.22169873
20,21.25905605,16.1998207
21,23.77844882,18.52022185
22,28.13041766,14.60209578
23,27.4121398,16.32043487
24,19.04779913,13.22293275
25,24.12199002,14.97737808
26,25.65172466,17.18923173
27,25.45929458,17.51967008
28,20.21141637,12.50158962
29,25.9612868,14.26258954
30,24.8975401,11.39762926
31,27.19068732,17.63744725
32,23.52559958,12.97464902
33,24.92855139,13.90382258
34,24.36675413,12.72580948
35,23.53181648,18.61111076
36,22.63029757,12.2119052
37,23.82684592,18.41865635
38,21.14051853,12.46752979
39,19.91492542,15.84679858
40,20.00665085,14.31942092
41,21.76112587,14.19678792
42,20.58875438,11.5185455
43,25.19013259,16.58540462
44,23.59862472,16.55938591
45,21.3770016,16.42579801
46,27.04460063,13.3912208
47,21.53639117,16.6540896
48,25.73820451,17.46337749
49,24.94244218,15.1103637
50,25.87703324,12.25977239
51,23.68059303,19.89111271
52,26.31370029,18.84123087
53,24.33229942,16.00731504
54,24.6965693,19.30494251
55,24.81758341,18.50708507
56,23.04034419,11.64546119
57,18.80058457,16.37689825
58,25.74428287,12.04898195
59,21.84365292,15.66945394
60,21.17748281,11.00515219
61,19.24394337,17.68496326
62,22.30447149,14.18560803
63,19.66894471,16.31708108
64,24.33756534,15.50783519
65,25.46527575,18.80322989
66,23.04003044,18.28660454
67,18.76229736,15.98868443
68,23.11409761,17.30721307
69,21.43061764,14.65717914
70,25.94613008,13.37569665
71,25.27762254,14.30930786
72,22.74774394,16.97036592
73,23.57664213,13.74787732
74,27.36097624,15.95617778
75,21.53573194,16.30298547
76,20.7661464,17.7403369
77,24.54730968,14.5803502
78,24.5880817,19.66497547
79,26.61043476,15.05044503
80,26.95281024,18.49451769
81,27.43169716,17.31985486
82,20.07941845,13.48678392
83,26.87310846,15.48679328
84,22.70546951,12.29767473
85,22.34561272,14.55337333
86,24.26541769,11.16995896
87,25.46228774,14.24560182
88,26.44900993,18.78376565
89,24.79551572,13.83348996
90,19.87328152,17.67505662
91,28.1641003,16.7178362
92,23.09609291,16.63981697
93,26.60434432,13.0016096
94,21.14366661,11.56166392
95,24.12073498,13.5018286
96,20.38237053,11.50005192
97,19.38556462,17.37579874
98,19.47130924,15.24880459
99,23.40664032,18.09934996
100,24.74895375,13.95646516
101,24.29295405,18.24934025
102,25.18543455,11.08858921
103,19.40666641,13.63634703
104,20.99627714,14.61665596
105,23.45071854,14.04843548
106,20.85651017,11.51702027
107,26.18427592,13.35220457
108,20.51473513,16.20866182
109,20.90478801,16.90586957
110,22.53702481,10.69415853
111,22.04420616,10.76863294
112,24.34876273,13.71293999
113,20.96418952,19.13316166
114,25.25021704,17.04879604
115,22.68362039,14.15520284
116,20.94796092,14.79235224
117,27.14216687,12.93111017
118,24.01148404,13.26979766
119,19.31889572,17.7564621
120,21.69175397,11.95497487
121,22.4293849,14.81612827
122,23.48959024,20.11310099
123,20.82738951,3.246212854
124,22.76150663,2.879557509
125,27.31378187,3.314172386
126,26.41823877,3.737836214
127,22.82491951,1.826656594
128,25.57751535,4.24157861
129,26.495084,2.172593061
130,21.57770349,2.577432414
131,28.02566199,0.64319512
132,22.18034896,3.227221502
133,22.74379468,4.305448177
134,21.63430462,0.546593525
135,24.14192725,2.7200021
136,25.25558621,1.529203142
137,26.21473041,1.577298142
138,22.51211737,2.439642504
139,23.9200496,0.355830731
140,19.40490879,0.764165105
141,27.02795079,0.732063711
142,22.8169638,2.588084952
143,25.16228651,0.668952292
144,26.69652874,3.782139786
145,24.96987096,3.707816594
146,25.99503063,1.243023413
147,27.60560316,0.441712808
148,27.138842,1.999045393
149,24.17538281,2.577692179
150,27.51966544,0.627864476
151,20.75308487,2.469259224
152,24.10072856,1.548497788
153,23.45004075,4.538923852
154,27.19208618,0.055349837
155,25.12829085,2.371721151
156,24.08679863,0.323675941
157,20.62483806,2.303402844
158,28.07670337,2.072292476
159,21.86397082,0.731435356
160,24.54573069,4.005314551
161,25.56891209,3.521340768
162,28.19208707,1.247013064
163,25.14162639,3.416715166
164,24.80726024,3.097984505
165,22.8292566,3.635211108
166,20.97857257,1.609052489
167,23.34287891,3.147397142
168,21.63661944,1.055378348
169,24.78038777,4.415680828
170,24.18593465,0.029807947
171,23.87779446,1.278119828
172,26.47856393,1.231723905
173,28.06650962,1.443804273
174,19.74144446,21.38483668
175,17.12109815,21.0943334
176,18.74306831,19.16389015
177,17.5724121,22.96386655
178,22.33272887,17.93850681
179,18.55733785,19.50716913
180,14.81282333,19.21769821
181,18.14930055,18.15488198
182,15.07396821,18.7195363
183,17.34354343,18.57541655
184,16.45361748,20.55769855
185,21.50225041,17.36769869
186,19.39028841,16.83363823
187,20.20806652,22.17996931
188,18.12545347,13.33914923
189,18.39432653,20.59670553
190,18.58373081,13.95454534
191,19.68742128,17.85927103
192,16.92130238,21.59160534
193,15.43061592,18.45294235
194,18.02062802,18.93891248
195,16.36511372,16.4551202
196,18.16703481,14.14918435
197,19.7578202,21.92023525
198,15.7351639,22.38798846
199,22.47067706,20.06634461
200,15.90688718,22.50353552
201,21.10067634,18.99991284
202,13.64201451,18.67575044
203,15.22430145,21.69318064
204,15.07182786,15.2517101
205,18.43216415,20.77834637
206,20.94643688,20.7743946
207,14.85852035,16.23720183
208,16.88894795,19.03645663
209,17.35837112,22.36253978
210,18.92297685,17.60564468
211,17.62419578,16.79957367
212,20.36413922,19.80955903
213,22.36589352,20.7466704
214,15.05156466,21.05751697
215,22.77625551,20.84179177
216,19.45180935,13.92027758
217,18.09297527,17.68955427
218,17.67996605,15.82670552
219,18.89094953,23.10517961
220,21.85610776,19.47224067
221,22.22986355,16.09983818
222,16.51147926,14.50908147
223,16.91335172,14.83526196
224,18.55443171,22.34674567
225,18.58170097,19.12234226
226,17.96629401,21.3472556
227,16.32184539,14.75004258
228,21.86158682,21.31229364
229,16.59500864,21.88845069
230,16.07222909,19.74813841
231,19.48929335,16.93489099
232,22.63887839,17.30820299
