Num,x1,y1,x2,y2,dist,far,interval
0,26,26,26,26,0,0,0
1,28,34,23.92592905,17.35074323,17.14047272,0,5.18
2,34,36,41.02935764,50.95805378,16.5274088,0,2.47
3,38,9,21.0367072,15.19410884,18.05880081,0,9.51
4,46,29,38.72271757,39.70018962,12.94035925,0,20.98
5,22,31,12.03864576,38.28383183,12.3402911,0,9.57
6,13,47,5.661887028,34.17518455,14.77578401,0,8.25
7,17,28,33.1413394,29.20934512,16.18657942,0,3.7
8,28,19,39.78406109,30.10836597,16.1944401,0,16.79
9,8,9,23.30700155,19.00712843,18.28788987,0,2.04
10,32,21,34.91535797,37.09828134,16.36013369,0,14.17
11,44,48,25.43678329,49.30936901,18.60933803,0,2.35
12,32,14,44.3315187,20.68257545,14.02580365,0,3.47
13,12,36,4.316559432,48.09457038,14.32877845,0,2.4
14,15,20,6.210761093,28.44542405,12.18917175,0,0.61
15,47,37,37.38699976,23.60237835,16.48957366,0,1.19
16,12,26,11.12073741,42.95987869,16.9826555,0,0.33
17,30,14,41.3123316,7.758728139,12.91984213,0,0.37
18,23,41,31.33785377,36.52697791,9.46190954,0,2.35
19,17,49,30.16914977,43.0865148,14.43592092,0,0.85
20,24,36,9.29024257,32.85002781,15.04324727,0,6.6
21,29,49,13.61218622,46.58281751,15.57650744,0,1.75
22,26,10,36.81150511,21.04902322,15.4586402,0,0.56
23,10,6,22.3253275,15.81757696,15.75749077,0,9.06
24,9,38,24.04585485,38.74715733,15.06439485,0,0.02
25,20,34,29.93799448,26.01507406,12.74844212,0,0.87
26,29,37,39.01813318,49.17813874,15.76927569,0,0.66
27,49,7,48.44380319,20.36048217,13.37205439,0,1.27
28,24,45,40.66653891,40.04064528,17.38875264,0,1.34
29,35,27,39.33685745,11.48793487,16.10690836,0,0.85
30,17,42,21.80193057,27.68795115,15.09613459,0,2.01
31,23,23,11.70260822,34.23362761,15.9319004,0,0.52
32,21,37,31.80494195,26.55625594,15.02726058,0,1.11
33,22,38,8.355546707,33.47901867,14.37394789,0,0.69
34,10,19,21.0573085,30.92005244,16.25889669,0,2.21
35,9,12,24.31041682,9.65922844,15.48832059,0,3.33
36,33,29,21.64605271,24.04441095,12.3883002,0,0.3
37,20,38,36.34512302,34.19320963,16.7825713,0,2.28
38,37,19,22.25937845,19.98959941,14.77380218,0,2.97
39,36,41,50.23754492,32.60378842,16.52888545,0,0.29
40,32,29,38.50519697,16.60083469,14.00203157,0,2.94
41,36,10,16.75838315,6.647617901,19.53146909,0,1.14
42,43,36,31.29574615,26.47160624,15.09237708,0,1.07
43,48,9,34.3219828,6.000981907,14.0029377,0,0.53
44,26,15,40.38532269,11.27643007,14.85942401,0,0.42
45,37,4,24.6819309,8.235482144,13.02590248,0,3.05
46,29,28,15.77969839,35.55565726,15.22709201,0,0.74
47,3,28,19.65209729,33.198339,17.44462876,0,1.51
48,8,17,1.860634903,30.13041191,14.49481013,0,1.23
49,34,24,17.27843305,24.30512253,16.72435054,0,0.1
50,4,36,10.53549279,21.91557327,15.52687162,0,0.7
51,38,36,37.0014561,20.73394875,15.2986735,0,2.73
52,20,28,31.27367951,34.17178534,12.85250108,0,1.88
53,28,16,15.15669289,13.50621672,13.08317593,0,0.12
54,22,23,12.01426615,16.14854854,12.11021336,0,0.41
55,13,4,27.80117162,8.846326566,15.57438803,0,2.3
56,24,21,10.22178098,17.48863539,14.21861459,0,1.46
57,26,29,23.37582366,12.74668888,16.4637913,0,1.68
58,47,5,30.99248637,3.220759012,16.10609174,0,1.02
59,18,10,31.12973557,22.86296531,18.38058304,0,1.42
60,49,32,50.02719353,42.05237699,10.10472214,0,2.68
61,34,15,18.29110584,18.47947867,16.08962795,0,1.29
62,44,28,42.82748904,42.19342127,14.24176917,0,1.89
63,25,46,37.48574459,44.69598718,12.55365554,0,1.59
64,36,14,50.59580342,16.74089596,14.8509255,0,0.57
65,39,33,47.2110069,23.49045903,12.56391674,0,1.38
66,36,4,19.95544837,4.248187178,16.04647108,0,0.68
67,16,6,8.861930915,20.59658543,16.24845643,0,3.38
68,16,3,3.418843161,2.304262656,12.60037927,0,4.52
69,15,26,11.40168218,12.52571547,13.9464775,0,1.76
70,17,37,14.700642,21.45346213,15.71565738,0,2.93
71,46,21,45.65271005,37.10754383,16.1112873,0,3.09
72,7,3,21.319012,4.541470264,14.40174417,0,0.61
73,7,15,6.430902806,30.58493323,15.59532031,0,1.79
74,15,44,3.744326916,36.08600843,13.75941275,0,1
75,18,7,4.624108277,15.27068986,15.72637244,0,2.11
76,33,14,22.52193822,1.410972491,16.37905346,0,1.92
77,20,18,26.49736175,6.02527765,13.62386454,0,4.64
78,35,37,40.63598521,19.11703381,18.75006158,0,0.96
79,23,34,41.26802887,34.49866555,18.27483368,0,0.55
80,6,28,16.17400141,39.37785261,15.26321836,0,0.83
81,24,29,39.52783708,24.75867191,16.09666389,0,0.24
82,12,32,4.885317141,20.64795015,13.39730376,0,0.14
83,32,35,24.14911451,45.13699039,12.82166047,0,0.39
84,45,31,36.09285944,20.13984819,14.04564169,0,1.82
85,36,44,17.95093115,49.84834891,18.97292996,0,0.33
86,16,34,29.68818764,24.73321118,16.52996842,0,3.3
87,39,10,24.08848787,14.05198133,15.45224083,0,0.21
88,13,23,18.79498534,9.200716089,14.96669942,0,0.21
89,23,31,6.328732353,30.33455477,16.68454322,0,1.24
90,7,11,16.74160497,2.164157866,13.15184297,0,0.59
91,42,10,29.04882422,20.02469222,16.37764965,0,7.23
92,23,22,15.62461321,9.443779736,14.56210828,0,0.46
93,26,31,34.18634749,41.59904694,13.39238894,0,0.79
94,4,17,16.35824939,21.54874534,13.16880451,0,0.43
95,13,36,15.03606559,21.46668744,14.67524232,0,1.97
96,13,21,20.1059311,33.08956458,14.02326026,0,1.39
97,41,24,48.27891217,12.03873131,14.00194669,0,0.06
98,23,41,34.44026913,42.80455424,11.58171722,0,0.74
99,13,19,24.59011159,27.61310412,14.44009173,0,2.33
100,44,22,28.32641713,16.88388621,16.48744432,0,1.5
101,25,39,15.30163963,26.49137212,15.82794887,0,3.85
102,29,20,32.1075172,5.516458835,14.81315725,0,0.01
103,20,49,4.845935716,48.26037065,15.17210321,0,4.43
104,17,16,27.55972889,29.85556635,17.42080919,0,4.36
105,49,25,50.95973913,13.37434218,11.78967757,0,12.86
106,22,46,35.34716431,49.04454908,13.68999905,0,1.32
107,43,41,36.63276009,25.13862314,17.09166522,0,0.36
108,19,22,29.34588171,13.68824792,13.27111491,0,1.55
109,20,13,33.47326697,25.81198856,18.59236331,0,2.54
110,43,28,31.34609865,22.5008807,12.88618367,0,1.39
111,22,12,15.25881509,22.33133419,12.33612744,0,0.78
112,45,47,32.40561212,44.97308904,12.75644834,0,0.18
113,27,45,41.00826752,43.60346409,14.07770832,0,0.3
114,12,32,19.1622435,19.8734385,14.08372202,0,0.37
115,30,20,18.01594713,13.5327349,13.61774728,0,0.7
116,24,22,23.35248359,6.7866817,15.22709201,0,0.26
117,16,2,11.76589798,16.82208222,15.41498431,0,1.17
118,43,24,32.54645137,13.05852822,15.1324976,0,0.79
119,46,35,41.64247852,19.92110692,15.6958915,0,0.99
120,17,11,2.459894497,14.86775524,15.04573689,0,0.06
121,25,13,33.62226641,5.471000441,11.44680359,0,1.63
122,33,9,48.35513623,15.19166956,16.55647851,0,1.65
123,21,16,26.52186045,4.039031535,13.1740544,0,4.74
124,8,15,13.4507969,32.63004423,18.45344538,0,2.5
125,28,26,30.80579559,46.47804612,20.66937013,0,6.88
126,10,25,13.31601097,6.491549128,18.80315618,0,6.45
127,19,3,27.95436615,16.67079912,16.34231996,0,1.5
128,30,23,21.63484305,35.10178852,14.71153073,0,1.79
129,19,19,31.67865782,27.82633792,15.4483852,0,7.2
130,9,18,14.32860817,31.08883415,14.13193704,0,1.07
131,30,25,34.44587684,11.30622052,14.39741009,0,4.92
132,46,35,43.46886794,19.57023412,15.63599388,0,0.9
133,11,12,15.37959828,30.91807039,19.41840025,0,3.99
