Num,x1,y1,x2,y2,dist,far,interval
0,36,36,36,36,0,0,0
1,35.52374732,36.44272358,39.6251889,49.71722422,13.89367446,0,11.62
2,38.8086743,32.963081,47.28928267,19.96029343,15.52395577,0,18.17
3,37.52916402,34.49015878,40.13532833,51.10144125,16.81448178,0,1.9
4,36.54515412,31.58169315,40.82601261,42.83769096,12.04255937,0,5.01
5,38.78757953,32.1841256,25.18398379,40.18263544,15.78081041,0,1.97
6,36.91514182,34.37058742,48.35831648,28.57837717,12.82559728,0,14.27
7,32.93224569,35.51663833,16.67499297,25.90330851,18.88688371,1,2.67
8,32.89770294,33.77774513,43.85683935,36.95070458,11.40922182,0,1.28
9,41.40784001,39.75986607,54.41476836,31.08747873,15.63299355,0,11.84
10,35.98627039,36.00629852,25.25090746,26.42148198,14.39155048,0,0.44
11,33.49988542,31.42859948,47.67991624,29.81048957,14.272055,0,6.26
12,33.61080101,33.33035868,61.8843801,53.8091919,34.91099949,1,5.69
13,33.72902261,36.52439501,65.89565191,28.33414379,33.19295491,1,8.41
14,37.43903864,33.13010239,24.12190471,24.19297424,16.03802717,0,3.31
15,37.1151977,40.43392545,37.04299158,19.73769806,20.69635335,0,5.01
16,35.04584049,30.732212,51.05256214,28.94985746,16.10564887,0,1.25
17,38.08901367,39.3416331,71.77512446,51.87011106,35.94046215,1,1.03
18,38.62960207,35.49363645,44.50830054,16.57225843,19.81357217,0,1.37
19,31.31098971,32.96613517,44.47221829,30.20138371,13.44848648,0,0.15
20,36.44116116,36.70569129,38.59293668,51.83303616,15.27961716,0,2.37
21,39.04246958,37.85773803,24.4994826,43.44605617,15.57972304,0,1.59
22,33.2827282,37.15892876,44.37419226,32.58553721,11.99735326,0,2.79
23,42.80410902,36.81137638,30.08496624,35.97304863,12.74674022,0,3.23
24,35.26378252,35.30708509,21.31317929,42.41279782,15.65600472,0,3.35
25,36.04875401,34.43459062,47.64826824,23.18108344,16.16137847,0,1.34
